read0	RXN-7700
read1	RXN-5424
read2	RXN-13198
read3	RXN-10911
read4	RXN66-478
read5	ALCOHOL-DEHYDROG-GENERIC-RXN
read6	RXN-10781
read7	RXN-7693
read8	RXN-10915
read9	RXN-12448
read10	RXN-7657
read11	ALCOHOL-DEHYDROG-RXN
read12	RXN3O-4113
read13	RXN-7694
read14	RXN-7706
read15	RXN-9556
read16	RXN-16622
read17	RXN1G-469
read18	RXN1G-349
read19	RXN-9633
read20	RXN-11476
read21	RXN-9518
read22	RXN-16626
read23	RXN-9514
read24	RXN-10655
read25	RXN-13008
read26	RXN-9532
read27	RXN-9528
read28	RXN-16616
read29	RXN1G-157
read30	RXN-11480
read31	RXN-9524
read32	RXN-16630
read33	RXN1G-508
read34	RXN-9536
read35	RXN-10659
read36	3-OXOACYL-ACP-REDUCT-RXN
read37	RXN0-2142
read38	RXN-9552
read39	RXN-10060
read40	RXN-9540
read41	RXN-14249
read42	THREODEHYD-RXN
read43	D-THREO-ALDOSE-1-DEHYDROGENASE-RXN
read44	KDUD-RXN
read45	RXN0-703
read46	3-DEHYDRO-L-GULONATE-2-DEHYDROGENASE-RXN
read47	DTDPDEHYRHAMREDUCT-RXN
read48	1.1.1.136-RXN
read49	RXN-18411
read50	L-IDITOL-2-DEHYDROGENASE-RXN
read51	RXN-7644
read52	3-HYDROXYBUTYRYL-COA-DEHYDROGENASE-RXN
read53	RXN-16033
read54	7-ALPHA-HYDROXYSTEROID-DEH-RXN
read55	2-DEHYDROPANTOATE-REDUCT-RXN
read56	MYO-INOSITOL-2-DEHYDROGENASE-RXN
read57	RIBOFLAVINSYNREDUC-RXN
read58	13-PROPANEDIOL-DEHYDROGENASE-RXN
read59	RXN-11407
read60	URONATE-DEHYDROGENASE-RXN
read61	IMP-DEHYDROG-RXN
read62	FARNESOL-DEHYDROGENASE-RXN
read63	RXN-7784
read64	RXN-600
read65	DIHYDROKAEMPFEROL-4-REDUCTASE-RXN
read66	RXN-17678
read67	UGD-RXN
read68	RXN-8001
read69	SHIKIMATE-5-DEHYDROGENASE-RXN
